,SKU,Wayfair SKU,Problem_Number,total_qty
0,ADAPTER-24V2A,ADAPTER-24V2A,1,6
1,ADAPTER-24V2A,ADAPTER-24V2A,14,7
2,ADAPTER-24V2A,ADAPTER-24V2A,2,1
3,ADAPTER-24V2A,ADAPTER-24V2A,4,2
4,ADAPTER-24V2A,ADAPTER-24V2A,5,1
5,ADAPTER-24V2A,ADAPTER-24V2A,6,39
6,ADAPTER-24V2A,ADAPTER-24V2A,7,2
7,ADAPTER-24V2A,ADAPTER-24V2A,8,129
8,ADAPTER-24V2A,ADAPTER-24V2A,9,1
9,ADAPTER-24V3A,ADAPTER-24V3A,10,7
10,ADAPTER-24V3A,ADAPTER-24V3A,14,1
11,ADAPTER-24V3A,ADAPTER-24V3A,5,1
12,ADAPTER-24V3A,ADAPTER-24V3A,6,5
13,ADAPTER-24V3A,ADAPTER-24V3A,7,1
14,ADAPTER-24V3A,ADAPTER-24V3A,8,27
15,ADC-REMOTE 1,ADC-REMOTE 1,14,1
16,ADC-REMOTE GEN 1,ADC-REMOTE GEN 1,14,7
17,ADPTER-24V3A,ADPTER-24V3A,10,1
18,Adapter-24V2A,Adapter-24V2A,8,1
19,BL-11 (GLASS SHADE),BL-11 (GLASS SHADE),8,1
20,BL-21,BL-21,8,1
21,C483Q-N10-BG-1-FM(MOTOR ONLY),C483Q-N10-BG-1-FM(MOTOR ONLY),3,1
22,C483Q-N10-W1-1-FM(MOTOR ONLY),C483Q-N10-W1-1-FM(MOTOR ONLY),3,1
23,C525D-51-BG-1,C525D-51-BG-1,4,1
24,C525D-L17-B4-1 (MOTOR ONLY),C525D-L17-B4-1 (MOTOR ONLY),3,1
25,C525D-L27-B5-1(MOTOR ONLY),C525D-L27-B5-1(MOTOR ONLY),6,3
26,C525D-L31-BF-1 (LIGHT KIT ONLY),C525D-L31-BF-1 (LIGHT KIT ONLY),8,1
27,C525D-L31-BF-1 (MOTOR ONLY),C525D-L31-BF-1 (MOTOR ONLY),3,2
28,C525D-L51-BG-1,C525D-L51-BG-1,6,1
29,C525D1-L61-BG-1,C525D1-L61-BG-1,4,2
30,C525D1-L61-BG-1,C525D1-L61-BG-1,5,2
31,C525D1-L72-BG-1 (MOTOR ONLY),C525D1-L72-BG-1 (MOTOR ONLY),3,1
32,C525D1-L72-BG-1 (MOTOR ONLY),C525D1-L72-BG-1 (MOTOR ONLY),8,1
33,C525D1-L72-BG-1(MOTOR ONLY),C525D1-L72-BG-1(MOTOR ONLY),3,1
34,CANOPY ONLY,CANOPY ONLY,9,2
35,CANOPY ONLY (WHITE),CANOPY ONLY (WHITE),10,1
36,CANOPY ONLY (WHITE),CANOPY ONLY (WHITE),8,1
